slug,campo,motivo,tratamiento_publico
rcyd-type-permanent-magnet-self-dumping-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyd-type-permanent-magnet-self-dumping-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyd-type-permanent-magnet-self-dumping-iron-remover,Capa de material,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyd-type-permanent-magnet-self-dumping-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyd-type-permanent-magnet-self-dumping-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,Alimentación eléctrica,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyb-type-permanent-magnet-manual-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyb-type-permanent-magnet-manual-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyb-type-permanent-magnet-manual-iron-remover,Capa de material,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyb-type-permanent-magnet-manual-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcyb-type-permanent-magnet-manual-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdb-type-self-cooling-plate-electromagnetic-iron-remover,Alimentación eléctrica,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdb-type-self-cooling-plate-electromagnetic-iron-remover,Altura de suspensión,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdb-type-self-cooling-plate-electromagnetic-iron-remover,Ancho y velocidad de cinta,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdb-type-self-cooling-plate-electromagnetic-iron-remover,Ambiente,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
rcdb-type-self-cooling-plate-electromagnetic-iron-remover,Configuración de descarga,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
belt-high-gradient-magnetic-separator,Mineral,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
belt-high-gradient-magnetic-separator,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
belt-high-gradient-magnetic-separator,Humedad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
belt-high-gradient-magnetic-separator,Capacidad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
belt-high-gradient-magnetic-separator,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
disc-magnetic-separator-for-tailing,Mineral,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
disc-magnetic-separator-for-tailing,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
disc-magnetic-separator-for-tailing,Humedad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
disc-magnetic-separator-for-tailing,Capacidad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
disc-magnetic-separator-for-tailing,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dry-drum-magnetic-separator,Mineral,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dry-drum-magnetic-separator,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dry-drum-magnetic-separator,Humedad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dry-drum-magnetic-separator,Capacidad,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
dry-drum-magnetic-separator,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
wet-drum-magnetic-separator,Mineralogía,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
wet-drum-magnetic-separator,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
wet-drum-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
wet-drum-magnetic-separator,Porcentaje de sólidos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
wet-drum-magnetic-separator,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cbz-type-rotary-automatic-magnetic-separator,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cbz-type-rotary-automatic-magnetic-separator,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cbz-type-rotary-automatic-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cbz-type-rotary-automatic-magnetic-separator,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgb-type-rotary-semi-automatic-magnetic-separator,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgb-type-rotary-semi-automatic-magnetic-separator,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgb-type-rotary-semi-automatic-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cgb-type-rotary-semi-automatic-magnetic-separator,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separator,Abertura o diámetro,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separator,Barras o elementos magnéticos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cqz-type-fully-automatic-online-magnetic-separator,Material de construcción,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctn-wet-full-countercurrent-magnetic-separator,Mineralogía,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctn-wet-full-countercurrent-magnetic-separator,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctn-wet-full-countercurrent-magnetic-separator,Caudal,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctn-wet-full-countercurrent-magnetic-separator,Porcentaje de sólidos,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
ctn-wet-full-countercurrent-magnetic-separator,Objetivo de separación,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cts-type-wet-co-current-magnetic-separator,Mineralogía,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
cts-type-wet-co-current-magnetic-separator,Granulometría,No hay valor confirmado en el catálogo público sincronizado,Disponible bajo solicitud / Por confirmar por ingeniería de COWIN
