slug,url,titulo_es,estado_idioma,hallazgo,prioridad
rcyd-type-permanent-magnet-self-dumping-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcyd-type-permanent-magnet-self-dumping-iron-remover,RCYD: Separador magnético permanente autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,RCDD: Separador electromagnético autolimpiante,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcyb-type-permanent-magnet-manual-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcyb-type-permanent-magnet-manual-iron-remover,RCYB: Separador magnético permanente suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
rcdb-type-self-cooling-plate-electromagnetic-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcdb-type-self-cooling-plate-electromagnetic-iron-remover,RCDB: Separador electromagnético suspendido,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
belt-high-gradient-magnetic-separator,/es-cl/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator,Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
disc-magnetic-separator-for-tailing,/es-cl/products/magnetic-separation-equipment/disc-magnetic-separator-for-tailing,Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
dry-drum-magnetic-separator,/es-cl/products/magnetic-separation-equipment/dry-drum-magnetic-separator,Separador magnético para proceso seco,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
wet-drum-magnetic-separator,/es-cl/products/magnetic-separation-equipment/wet-drum-magnetic-separator,Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cbz-type-rotary-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator,CBZ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cgb-type-rotary-semi-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator,CGB: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cqz-type-fully-automatic-online-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separator,CQZ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
ctn-wet-full-countercurrent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctn-wet-full-countercurrent-magnetic-separator,CTN: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cts-type-wet-co-current-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cts-type-wet-co-current-magnetic-separator,CTS: Separador magnético para proceso húmedo,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
cxj-drum-type-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cxj-drum-type-automatic-magnetic-separator,CXJ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
dcz-type-dry-fully-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separator,DCZ: Filtro y componente magnético para proceso,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
gls-type-integral-channel-metal-separator,/es-cl/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator,GLS: Detector de metales para proceso industrial,requiere_revision,El catálogo base conserva nombre de origen; la página debe mostrar título y contenido propio en español,alta
