Nombre público en español,Serie,Modelo,URL actual,Categoría,Tipo magnético,Modo de limpieza,Estado de suministro,Especificaciones confirmadas,Campos pendientes,Aplicaciones,Imágenes,Estado de autorización,Estado de contenido
RCYD: Separador magnético permanente autolimpiante,RCYD,RCYD,/es-cl/products/suspended-self-unloading-iron-removers/rcyd-type-permanent-magnet-self-dumping-iron-remover,Suspended & Self-Unloading Iron Removers,iman_permanente,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCDD: Separador electromagnético autolimpiante,RCDD,RCDD,/es-cl/products/suspended-self-unloading-iron-removers/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,Suspended & Self-Unloading Iron Removers,electromagnetico,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYB: Separador magnético permanente suspendido,RCYB,RCYB,/es-cl/products/suspended-self-unloading-iron-removers/rcyb-type-permanent-magnet-manual-iron-remover,Suspended & Self-Unloading Iron Removers,iman_permanente,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCDB: Separador electromagnético suspendido,RCDB,RCDB,/es-cl/products/suspended-self-unloading-iron-removers/rcdb-type-self-cooling-plate-electromagnetic-iron-remover,Suspended & Self-Unloading Iron Removers,electromagnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético para proceso seco,Por confirmar,,/es-cl/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético para proceso seco,Por confirmar,,/es-cl/products/magnetic-separation-equipment/disc-magnetic-separator-for-tailing,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético para proceso seco,Por confirmar,,/es-cl/products/magnetic-separation-equipment/dry-drum-magnetic-separator,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,16,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
Separador magnético para proceso húmedo,Por confirmar,,/es-cl/products/magnetic-separation-equipment/wet-drum-magnetic-separator,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CBZ: Filtro y componente magnético para proceso,CBZ,CBZ,/es-cl/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CGB: Filtro y componente magnético para proceso,CGB,CGB,/es-cl/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,13,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CQZ: Filtro y componente magnético para proceso,CQZ,CQZ,/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separator,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTN: Separador magnético para proceso húmedo,CTN,CTN,/es-cl/products/magnetic-separation-equipment/ctn-wet-full-countercurrent-magnetic-separator,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,12,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTS: Separador magnético para proceso húmedo,CTS,CTS,/es-cl/products/magnetic-separation-equipment/cts-type-wet-co-current-magnetic-separator,Magnetic Separation Equipment,separacion_humeda,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineralogía | Granulometría | Caudal | Porcentaje de sólidos | Objetivo de separación,Procesamiento de minerales | Evaluación de relaves | Circuitos de pulpa,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CXJ: Filtro y componente magnético para proceso,CXJ,CXJ,/es-cl/products/magnetic-separation-equipment/cxj-drum-type-automatic-magnetic-separator,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
DCZ: Filtro y componente magnético para proceso,DCZ,DCZ,/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separator,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
GLS: Detector de metales para proceso industrial,GLS,GLS,/es-cl/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator,Magnetic Separation Equipment,deteccion_metal,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ventana de detección | Producto de prueba | Velocidad | Alarma e interbloqueo,Protección de proceso | Correas transportadoras | Control de contaminación metálica,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CGT: Separador magnético para proceso seco,CGT,CGT,/es-cl/products/magnetic-separation-equipment/cgt-type-super-strong-full-magnetic-drum,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
CTZ: Separador magnético para proceso seco,CTZ,CTZ,/es-cl/products/magnetic-separation-equipment/ctz-type-midfield-strong-semi-magnetic-drum,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,10,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCDA: Separador electromagnético suspendido,RCDA,RCDA,/es-cl/products/magnetic-separation-equipment/rcda-type-air-cooled-electromagnetic-iron-remover,Magnetic Separation Equipment,electromagnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCDC: Separador electromagnético autolimpiante,RCDC,RCDC,/es-cl/products/magnetic-separation-equipment/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,Magnetic Separation Equipment,electromagnetico,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,10,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCDE: Separador electromagnético suspendido,RCDE,RCDE,/es-cl/products/magnetic-separation-equipment/rcde-type-oil-cooled-electromagnetic-iron-remover,Magnetic Separation Equipment,electromagnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCDF: Separador electromagnético autolimpiante,RCDF,RCDF,/es-cl/products/magnetic-separation-equipment/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover,Magnetic Separation Equipment,electromagnetico,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCDFJ: Separador electromagnético autolimpiante,RCDFJ,RCDFJ,/es-cl/products/magnetic-separation-equipment/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover,Magnetic Separation Equipment,electromagnetico,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Alimentación eléctrica | Altura de suspensión | Ancho y velocidad de cinta | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,9,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCPS: Separador magnético permanente autolimpiante,RCPS,RCPS,/es-cl/products/magnetic-separation-equipment/rcps-self-dumping-disc-type-permanent-magnet-iron-remover,Magnetic Separation Equipment,iman_permanente,autolimpiante,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Ancho y velocidad de cinta | Altura de suspensión | Capa de material | Ambiente | Configuración de descarga,Protección de chancadores | Correas transportadoras | Manejo de graneles y áridos,7,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCT: Separador magnético para proceso seco,RCT,RCT,/es-cl/products/magnetic-separation-equipment/rct-type-fully-magnetic-drum,Magnetic Separation Equipment,separacion_seca,no_aplica,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Mineral | Granulometría | Humedad | Capacidad | Objetivo de separación,Minerales secos | Áridos | Recuperación de fracciones ferrosas,11,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
RCYA: Filtro y componente magnético para proceso,RCYA,RCYA,/es-cl/products/magnetic-separation-equipment/rcya-type-inclined-pipeline-permanent-magnet-iron-remover,Magnetic Separation Equipment,filtro_magnetico,manual,Por confirmar con proveedor,Ninguna cifra pública validada en esta auditoría,Abertura o diámetro | Barras o elementos magnéticos | Caudal | Material de construcción,Protección de proceso | Polvos y graneles | Líneas de producto,8,Pendiente de confirmación documental,Requiere contenido detallado y ficha de verdad privada
