slug,url,estado,hallazgos,accion
rcyd-type-permanent-magnet-self-dumping-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcyd-type-permanent-magnet-self-dumping-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcyb-type-permanent-magnet-manual-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcyb-type-permanent-magnet-manual-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcdb-type-self-cooling-plate-electromagnetic-iron-remover,/es-cl/products/suspended-self-unloading-iron-removers/rcdb-type-self-cooling-plate-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
belt-high-gradient-magnetic-separator,/es-cl/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
disc-magnetic-separator-for-tailing,/es-cl/products/magnetic-separation-equipment/disc-magnetic-separator-for-tailing,sin_fuga_detectada,,Mantener comprobación de regresión
dry-drum-magnetic-separator,/es-cl/products/magnetic-separation-equipment/dry-drum-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
wet-drum-magnetic-separator,/es-cl/products/magnetic-separation-equipment/wet-drum-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cbz-type-rotary-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cgb-type-rotary-semi-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cqz-type-fully-automatic-online-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
ctn-wet-full-countercurrent-magnetic-separator,/es-cl/products/magnetic-separation-equipment/ctn-wet-full-countercurrent-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cts-type-wet-co-current-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cts-type-wet-co-current-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cxj-drum-type-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/cxj-drum-type-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
dcz-type-dry-fully-automatic-magnetic-separator,/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separator,sin_fuga_detectada,,Mantener comprobación de regresión
gls-type-integral-channel-metal-separator,/es-cl/products/magnetic-separation-equipment/gls-type-integral-channel-metal-separator,sin_fuga_detectada,,Mantener comprobación de regresión
cgt-type-super-strong-full-magnetic-drum,/es-cl/products/magnetic-separation-equipment/cgt-type-super-strong-full-magnetic-drum,sin_fuga_detectada,,Mantener comprobación de regresión
ctz-type-midfield-strong-semi-magnetic-drum,/es-cl/products/magnetic-separation-equipment/ctz-type-midfield-strong-semi-magnetic-drum,sin_fuga_detectada,,Mantener comprobación de regresión
rcda-type-air-cooled-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcda-type-air-cooled-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
rcde-type-oil-cooled-electromagnetic-iron-remover,/es-cl/products/magnetic-separation-equipment/rcde-type-oil-cooled-electromagnetic-iron-remover,sin_fuga_detectada,,Mantener comprobación de regresión
