"slug_or_file","surface","finding","disposition"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","source-data","https://www.cnmagnetics.com/n-14/60.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-14/49.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcyb-type-permanent-magnet-manual-iron-remover","source-data","https://www.cnmagnetics.com/n-14/58.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","source-data","https://www.cnmagnetics.com/n-14/57.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"belt-high-gradient-magnetic-separator","source-data","https://www.chnmag.com/product/Belt-High-Gradient-Magnetic-Separator-26.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"disc-magnetic-separator-for-tailing","source-data","https://www.chnmag.com/product/Disc-Magnetic-Separator-for-Tailing-28.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"dry-drum-magnetic-separator","source-data","https://www.chnmag.com/product/Dry-Drum-Magnetic-Separator-24.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"wet-drum-magnetic-separator","source-data","https://www.chnmag.com/product/Wet-Drum-Magnetic-Separator-25.html|chnmag.com","blocked from public rendering; source requires evidence migration"
"cbz-type-rotary-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/23.html|https://www.cnmagnetics.com/n-15/66.html|merged","blocked from public rendering; source requires evidence migration"
"cgb-type-rotary-semi-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/25.html|https://www.cnmagnetics.com/n-15/63.html|merged","blocked from public rendering; source requires evidence migration"
"cqz-type-fully-automatic-online-magnetic-separator","source-data","https://www.cnmagnetics.com/n-15/65.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"ctn-wet-full-countercurrent-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/18.html|https://www.cnmagnetics.com/n-15/68.html|merged","blocked from public rendering; source requires evidence migration"
"cts-type-wet-co-current-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/22.html|https://www.cnmagnetics.com/n-15/72.html|merged","blocked from public rendering; source requires evidence migration"
"cxj-drum-type-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-13/24.html|https://www.cnmagnetics.com/n-15/73.html|merged","blocked from public rendering; source requires evidence migration"
"dcz-type-dry-fully-automatic-magnetic-separator","source-data","https://www.cnmagnetics.com/n-15/74.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"gls-type-integral-channel-metal-separator","source-data","https://www.cnmagnetics.com/n-15/62.html|cnmagnetics.com","blocked from public rendering; source requires evidence migration"
"cgt-type-super-strong-full-magnetic-drum","source-data","https://www.cnmagnetics.com/n-12/11.html|https://www.cnmagnetics.com/n-14/54.html|merged","blocked from public rendering; source requires evidence migration"
"ctz-type-midfield-strong-semi-magnetic-drum","source-data","https://www.cnmagnetics.com/n-12/12.html|https://www.cnmagnetics.com/n-14/56.html|merged","blocked from public rendering; source requires evidence migration"
