"slug","missing_fields","public_fallback","priority"
"cbz-type-rotary-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cgb-type-rotary-semi-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cqz-type-fully-automatic-online-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctn-wet-full-countercurrent-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cts-type-wet-co-current-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cxj-drum-type-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"dcz-type-dry-fully-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"gls-type-integral-channel-metal-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cgt-type-super-strong-full-magnetic-drum","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctz-type-midfield-strong-semi-magnetic-drum","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcda-type-air-cooled-electromagnetic-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcde-type-oil-cooled-electromagnetic-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rct-type-fully-magnetic-drum","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcye-type-permanent-magnet-self-dumping-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"rcyz-type-vertical-pipeline-permanent-magnet-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cqz-type-fully-automatic-online-magnetic-separation","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctb-wet-semi-countercurrent-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"dcx-wet-fully-automatic-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"dcz-type-dry-fully-automatic-magnetic-separation","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"gtc-wet-plate-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hjlh-wet-vertical-ring-high-gradient-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hjpc-wet-disc-magnetic-separation","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"clt-type-magnetic-desliming-tank","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctb-type-semi-countercurrent-wet-selection-machine","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctn-type-full-countercurrent-wet-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"cts-type-downstream-wet-pre-selection-machine","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctzs-type-upward-suction-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hcg-type-dry-pre-selection-machine","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ljk-type-magnetic-ore-special-iron-remover","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"nct-type-concentrated-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"wbc-semi-magnetic-tailings-recovery-machine","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"ctn-type-specialized-magnetic-separator-for-coal-washing","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hmdn-coal-washing-special-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"suspended-permanent-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"suspended-electromagnetic-conveyor-belt-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"dls-type-window-metal-detector","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"gjt-type-window-metal-detector","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hecp-eddy-current-metal-sorting-machine","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"hecs-type-eddy-current-metal-sorting-machine","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"drum-magnet","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"eccentric-eddy-current-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"electromagnet-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"magnetic-head-pulley","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
"permanent-overband-magnetic-separator","verified_specifications|installation|faq|product_truth_review","Disponible bajo solicitud","P1"
