"slug","name","category","public_url","image_count","spec_count","truth_review_status"
"rcyd-type-permanent-magnet-self-dumping-iron-remover","RCYD type permanent magnet self dumping iron remover","Suspended & Self-Unloading Iron Removers","https://cowinmagnet.cl/es-cl/products/suspended-and-self-unloading-iron-removers/rcyd-type-permanent-magnet-self-dumping-iron-remover","9","2","reviewed"
"rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","RCDD type self cooling self dumping electromagnetic iron remover","Suspended & Self-Unloading Iron Removers","https://cowinmagnet.cl/es-cl/products/suspended-and-self-unloading-iron-removers/rcdd-type-self-cooling-self-dumping-electromagnetic-iron-remover","8","1","reviewed"
"rcyb-type-permanent-magnet-manual-iron-remover","RCYB type permanent magnet manual iron remover","Suspended & Self-Unloading Iron Removers","https://cowinmagnet.cl/es-cl/products/suspended-and-self-unloading-iron-removers/rcyb-type-permanent-magnet-manual-iron-remover","8","2","reviewed"
"rcdb-type-self-cooling-plate-electromagnetic-iron-remover","RCDB type self cooling plate electromagnetic iron remover","Suspended & Self-Unloading Iron Removers","https://cowinmagnet.cl/es-cl/products/suspended-and-self-unloading-iron-removers/rcdb-type-self-cooling-plate-electromagnetic-iron-remover","7","7","reviewed"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator","9","0","reviewed"
"disc-magnetic-separator-for-tailing","Disc Magnetic Separator for Tailing","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/disc-magnetic-separator-for-tailing","8","0","reviewed"
"dry-drum-magnetic-separator","Dry Drum Magnetic Separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/dry-drum-magnetic-separator","16","1","reviewed"
"wet-drum-magnetic-separator","Wet Drum Magnetic Separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/wet-drum-magnetic-separator","9","5","reviewed"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator","11","7","engineering_review_required"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator","13","4","engineering_review_required"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separator","7","1","engineering_review_required"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/ctn-wet-full-countercurrent-magnetic-separator","12","1","engineering_review_required"
"cts-type-wet-co-current-magnetic-separator","CTS type wet co current magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cts-type-wet-co-current-magnetic-separator","11","1","engineering_review_required"
"cxj-drum-type-automatic-magnetic-separator","CXJ drum type automatic magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/cxj-drum-type-automatic-magnetic-separator","11","1","engineering_review_required"
"dcz-type-dry-fully-automatic-magnetic-separator","DCZ type dry fully automatic magnetic separator","Magnetic Separation Equipment","https://cowinmagnet.cl/es-cl/products/magnetic-separation-equipment/dcz-type-dry-fully-automatic-magnetic-separator","8","2","engineering_review_required"
